ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
1,two sum,51.30%,Easy,1.2469204946844796,https://leetcode.com/problems/two-sum/
NULL,sort 0 1 2,50.58%,Medium,5.1400466512247540,https://www.geeksforgeeks.org/problems/sort-an-array-of-0s-1s-and-2s4231/1?page=1&sortBy=submissions
53,Maximum Subarray,50.50%,Medium,3.6969110493842905,https://leetcode.com/problems/maximum-subarray/description/
NULL,Allocate Books,45.60%,Medium,4.7577598523613496,https://www.codingninjas.com/studio/problems/allocate-books_1090540
509,Fibonnaci,70.00%,Easy,3.6885517555996792,https://leetcode.com/problems/fibonacci-number/description/
206,Reverse Linked List,75.30%,Easy,1.6826905818030302,https://leetcode.com/problems/reverse-linked-list/description/
NULL,Flip Bits,23.15%,Easy,4.8106052655595724,https://www.geeksforgeeks.org/problems/flip-bits0240/1
15,3 sum,33.80%,Medium,0.7687972455648159,https://leetcode.com/problems/3sum/description/
125,Valid Palindrome,46.40%,Easy,1.8067801414056637,https://leetcode.com/problems/valid-palindrome/description/
70,Climbing Stairs,52.30%,Easy,3.9114245475643212,https://leetcode.com/problems/climbing-stairs/description/
42,NextPermutation,39.00%,Medium,4.7761160339696431,https://leetcode.com/problems/next-permutation/description/
33,searchin rotated sorted array,40.20%,Medium,2.5637196590907756,https://leetcode.com/problems/search-in-rotated-sorted-array/description/
121,Best time to buy and sell stock,53.50%,Easy,5.2578078664156607,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description/
2965,Find the Missing and repeated values,73.20%,Easy,3.4239233907431559,https://leetcode.com/problems/find-missing-and-repeated-values/description/
36,Valid sudoko,59.00%,medium,2.0903270453089675,https://leetcode.com/problems/valid-sudoku/description/
21,Merge Two Sorted Lists,53.50%,Easy,2.6097171236839229, https://leetcode.com/problems/merge-two-sorted-lists
NULL,Rat in Maze ,29.60%,Medium,4.8004521507029736,https://www.codingninjas.com/studio/problems/rat-in-a-maze-all-paths_758966?interviewBundleRedirection=true
NULL,Merge 2 sorted linked list,44.30%,Medium,1.0867642533921300,https://www.codingninjas.com/studio/problems/merge-two-sorted-linked-lists_800332?&interviewBundleRedirection=true
NULL,MIDDLE OF LINKED LIST,75.00%,Easy,0.5784701687169316,https://www.codingninjas.com/studio/problems/middle-of-linked-list_973250?interviewBundleRedirection=true
NULL,Order of people height,30.00%,Hard,5.2802975490941275,https://www.codingninjas.com/studio/problems/order-of-people-heights_1170764?interviewBundleRedirection=true
706,Design HashMap,6590.00%,Easy,5.5657788133860944,https://leetcode.com/problems/design-hashmap/
NULL,Add 2 numbers as linked list 2,43.20%,Medium,1.3305244358937953,https://www.codingninjas.com/studio/problems/add-two-linked-lists_799487?interviewBundleRedirection=true
NULL,Merge Intervals,53.00%,Medium,4.0337046096568141,https://www.codingninjas.com/studio/problems/merge-intervals_699917?interviewBundleRedirection=true
NULL,BFS,70.00%,Easy,1.6657717084094275,https://www.codingninjas.com/studio/problems/bfs-in-graph_973002?interviewBundleRedirection=true
NULL,Modular Exponentation,78.00%,Easy,2.9198841891808538,https://www.codingninjas.com/studio/problems/modular-exponentiation_1082146?interviewBundleRedirection=true
2616,Minimize the maximum difference,44.10%,Medium,1.5197127781470516,https://leetcode.com/problems/minimize-the-maximum-difference-of-pairs/description/
23,Merge K sorted list,51.50%,Hard,3.2960777602604598,https://leetcode.com/problems/merge-k-sorted-lists/description/
974,subarray sum divisible by k,53.90%,Medium,5.9320996703403344,https://leetcode.com/problems/subarray-sums-divisible-by-k/description/
4,Median of Two Sorted Arrays,29.60%,Hard,2.4475205279193757, https://leetcode.com/problems/median-of-two-sorted-arrays
1654,Minimum jumps,23.90%,Medium,2.5523767316451824,https://leetcode.com/problems/minimum-jumps-to-reach-home/description/
684,Reductant connection,61.60%,Medium,4.8463017888698054,https://leetcode.com/problems/redundant-connection/description/
NULL,Triangle,46.80%,Medium,5.6915269086140894,https://codingninjas.com/studio/problems/triangle_1229398?&interviewBundleRedirection=true
496,Next Greater Element -1,71.80%,Easy,2.3608088912411516,https://leetcode.com/problems/next-greater-element-i/description/
503,Next Greater Element -2 ,63.50%,Medium,3.3664601132196177,https://leetcode.com/problems/next-greater-element-ii/description/
617,Merge 2 BST,78.80%,Easy,0.7711181998138367,https://leetcode.com/problems/merge-two-binary-trees/description/
141,Linked List Cycle,41.20%,Easy,2.4977550002346876,https://leetcode.com/problems/linked-list-cycle/description/
322,Coin Change,43.30%,Medium,2.7332769267311781,https://leetcode.com/problems/coin-change/description/
310,Minimum Height Trees,38.80%,Medium,4.3860745540100359,https://leetcode.com/problems/minimum-height-trees/description/
1888,Minimum number of flips,39.70%,Medium,2.6502764144156177,https://leetcode.com/problems/minimum-number-of-flips-to-make-the-binary-string-alternating/description/
518,Coin Change 2,63.40%,Medium,2.6140647931749177,https://leetcode.com/problems/coin-change-ii/description/
208,Implement Trie (Prefix Tree),63.40%,Medium,2.8555625458853542,https://leetcode.com/problems/implement-trie-prefix-tree/description/
42,Trapping Rain Water ,64.00%,Hard,1.0447143298974102,https://leetcode.com/problems/trapping-rain-water/description/
460,LFU Cache,34.20%,Hard,2.7529332762410657, https://leetcode.com/problems/lfu-cache
210,Course Schedule 2,49.70%,Medium,4.8645491611576936,https://leetcode.com/problems/course-schedule-ii/description/
64,Minimum Path Sum,63.20%,Medium,1.7890924140339552,https://leetcode.com/problems/minimum-path-sum/description/
1235,Maximum Profit in jo sequencing ,53.20%,Medium,3.2310395749332708,https://leetcode.com/problems/maximum-profit-in-job-scheduling/description/
344,Reverse string,77.40%,Easy,5.9709308834459103,https://leetcode.com/problems/reverse-string/description/
124,Maximum Path sum,38.40%,Medium,1.0765721010334874,https://leetcode.com/problems/binary-tree-maximum-path-sum/description/
37,Sudoko Solver,59.80%,Medium,4.2350123623248859,https://leetcode.com/problems/sudoku-solver/description/
56,Merge Intervals,39.30%,Medium,5.9225284600680670, https://leetcode.com/problems/merge-intervals
5,Longest Palindromic Substring,33.40%,Medium,3.8260260666529211,https://leetcode.com/problems/longest-palindromic-substring/description/?envType=daily-question&envId=2023-10-27
53,Maximum Subarray,46.50%,Easy,4.4232022729857121, https://leetcode.com/problems/maximum-subarray
49,Group Anagrams,56.90%,Medium,3.0661517331871249, https://leetcode.com/problems/group-anagrams
200,Number of islands,58.20%,Medium,0.6151859433979923,https://leetcode.com/problems/number-of-islands/description/
11,Container With Most Water,50.80%,Medium,1.6698043309352744, https://leetcode.com/problems/container-with-most-water
2040,Kth smallest product of 2 sorted arrays,28.50%,Hard,0.9069260034167047,https://leetcode.com/problems/kth-smallest-product-of-two-sorted-arrays/description/
54,Spiral Matrix,34.10%,Medium,0.8157754428882927, https://leetcode.com/problems/spiral-matrix
215,Kth Largest Element in an Array,66.90%,Medium,0.7255512449571563,https://leetcode.com/problems/kth-largest-element-in-an-array/solutions/1001402/min-heap-raw-implementation/
994,Rotting Oranges,53.90%,Medium,3.4809121561494401,https://leetcode.com/problems/rotting-oranges/description/
206,Reverse Linked List,62.50%,Easy,3.4406213968443891, https://leetcode.com/problems/reverse-linked-list
146,LRU Cache,41.90%,Medium,5.3494648808375951,https://leetcode.com/problems/lru-cache/description/
435,Non-overlapping intervals,52.60%,Medium,2.0601644790079163,https://leetcode.com/problems/non-overlapping-intervals/description/
