ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
981,Time Based Key-Value Store,53.1%,Medium,3.4546276792503927, https://leetcode.com/problems/time-based-key-value-store
185,Department Top Three Salaries,34.5%,Hard,2.3248807273650023, https://leetcode.com/problems/department-top-three-salaries
56,Merge Intervals,39.3%,Medium,2.9966037436022210, https://leetcode.com/problems/merge-intervals
295,Find Median from Data Stream,44.3%,Hard,4.9620406799925645, https://leetcode.com/problems/find-median-from-data-stream
362,Design Hit Counter,63.7%,Medium,3.5234977825709981, https://leetcode.com/problems/design-hit-counter
34,Find First and Last Position of Element in Sorted Array,36.2%,Medium,4.4612570287572968, https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
155,Min Stack,44.5%,Easy,3.4267600843758532, https://leetcode.com/problems/min-stack
88,Merge Sorted Array,39.4%,Easy,3.4456611848019110, https://leetcode.com/problems/merge-sorted-array
1861,Rotating the Box,66.9%,Medium,1.0088751297759735, https://leetcode.com/problems/rotating-the-box/description/
332,Reconstruct Itinerary, 43.4%,Hard,0.7350211364587292, https://leetcode.com/problems/reconstruct-itinerary/description/
121,Best Time to Buy and Sell Stock,53.5%,Easy,5.3053879962568038, https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description/
20,Valid Parenthesis,40.3%,Easy,4.3132925810422282, https://leetcode.com/problems/valid-parentheses/description/
15,3Sum,33.8%,Medium,4.5135483809480377, https://leetcode.com/problems/3sum/description/
179,Largest Number,35.6%,Medium,4.2523493226447195, https://leetcode.com/problems/largest-number/description/
1011,Capacity to Ship Packages Within D Days, 68.7%,Medium,5.7144750308994681, https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/
442,Find All Duplicates in an Array,73.6%,Medium,4.2154212805694531, https://leetcode.com/problems/find-all-duplicates-in-an-array/description/
131,Palindrome Partitioning,66.7%,Medium,0.7627641880393584, https://leetcode.com/problems/palindrome-partitioning/description/
647,Palindromic Substrings,68.1%,Medium,5.1461852301072293, https://leetcode.com/problems/palindromic-substrings/description/
516,Longest Palindromic Subsequence,62.3%,Medium,1.5400212287807207, https://leetcode.com/problems/longest-palindromic-subsequence/description/
168,Excel Sheet Column Title,39.9%,Easy,2.7433380789054786, https://leetcode.com/problems/excel-sheet-column-title/description/
171,Excel Sheet Column Number,63.2%,Easy,2.1115681419689318, https://leetcode.com/problems/excel-sheet-column-number/description/
138,Copy List with Random Pointer,54.9%,Medium,4.7032584344937893, https://leetcode.com/problems/copy-list-with-random-pointer/description/
143,Reorder List,55.3%,Medium,5.5915689654507617, https://leetcode.com/problems/reorder-list/description/
114,Flatten Binary Tree to Linked List,63.9%,Medium,1.7504152011989105, https://leetcode.com/problems/flatten-binary-tree-to-linked-list/description/
148,Sort List,56.9%,Medium,3.0308660867432189, https://leetcode.com/problems/sort-list/description/
82,Remove Duplicates from Sorted List II,46.8%,Medium,5.6508491567231243, https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/description/
147,Insertion Sort List,52.6%,Medium,2.2258092574028376, https://leetcode.com/problems/insertion-sort-list/description/
142,Linked List Cycle II,50.4%,Medium,5.7856494889659444, https://leetcode.com/problems/linked-list-cycle-ii/description/
160,Intersection of Two Linked Lists,56.5%,Easy,2.6845892919169474, https://leetcode.com/problems/intersection-of-two-linked-lists/description/
150,Evaluate Reverse Polish Notation,48.4%,Medium,3.9734763592326696, https://leetcode.com/problems/evaluate-reverse-polish-notation/description/
22,Generate Parenthesis,73.8%,Medium,0.5049539465577366, https://leetcode.com/problems/generate-parentheses/description/
739,Daily Temperatures,65.9%,Medium,4.7136534673373980, https://leetcode.com/problems/daily-temperatures/description/
1776,Car Fleet II,54.4%,Hard,3.6220133701026427, https://leetcode.com/problems/car-fleet-ii/description/
